wife_age,husband_under_18,husband_18_19,husband_20_24,husband_25_29,husband_30_34,husband_35_44,husband_45_54,husband_55_64,husband_65_over,husband_total
wife_under_18,48,543,1005,142,48,17,2,0,0,1805
wife_18_19,44,1795,6137,1309,211,42,4,5,0,9547
wife_20_24,15,1096,21054,12967,3020,1207,103,50,17,39529
wife_25_29,5,134,4701,13871,8109,3753,536,154,40,31303
wife_30_34,0,39,868,4032,6494,6232,1153,241,89,19148
wife_35_44,0,6,369,1355,3145,8036,3625,827,196,17559
wife_45_54,0,0,8,108,230,1058,2103,1589,616,5712
wife_55_64,0,0,12,1,4,99,345,931,752,2144
wife_65_over,0,0,0,0,0,7,27,183,676,893
wife_total,112,3613,34154,33785,21261,20451,7898,3980,2386,127640
