wife_age,husband_under_18,husband_18_19,husband_20_24,husband_25_29,husband_30_34,husband_35_44,husband_45_54,husband_55_64,husband_65_over,husband_total
wife_under_18,2,85,145,53,2,11,0,0,0,298
wife_18_19,11,154,606,210,46,25,5,0,0,1057
wife_20_24,16,103,1421,1545,391,145,5,0,1,3627
wife_25_29,0,30,365,1549,906,433,47,8,0,3338
wife_30_34,0,2,44,386,739,504,80,8,0,1763
wife_35_44,0,2,19,87,236,631,235,51,15,1276
wife_45_54,0,0,0,6,13,53,134,100,27,333
wife_55_64,0,0,0,0,0,6,33,20,12,71
wife_65_over,0,0,0,0,0,1,1,9,32,43
wife_total,29,376,2600,3836,2333,1809,540,196,87,11806
