wife_age,husband_under_18,husband_18_19,husband_20_24,husband_25_29,husband_30_34,husband_35_44,husband_45_54,husband_55_64,husband_65_over,husband_total
wife_under_18,15,93,74,10,1,0,0,0,0,193
wife_18_19,6,173,370,76,14,11,0,0,0,650
wife_20_24,0,79,1335,874,153,57,32,0,0,2530
wife_25_29,1,13,219,842,546,328,43,10,1,2003
wife_30_34,0,2,41,226,368,426,39,3,1,1106
wife_35_44,0,1,7,79,284,529,302,101,1,1304
wife_45_54,0,0,0,1,16,75,153,100,28,373
wife_55_64,0,0,1,0,10,3,16,73,30,133
wife_65_over,0,0,0,0,0,5,0,5,61,71
wife_total,22,361,2047,2108,1392,1434,585,292,122,8363
