wife_age,husband_under_18,husband_18_19,husband_20_24,husband_25_29,husband_30_34,husband_35_44,husband_45_54,husband_55_64,husband_65_over,husband_total
wife_under_18,3596,13699,16457,2494,445,219,40,1,2,36953
wife_18_19,1972,24081,62715,13038,2395,968,174,8,6,105357
wife_20_24,540,11135,168361,109317,27392,10989,1106,188,113,329141
wife_25_29,81,1334,32367,107627,59891,30156,3534,605,105,235700
wife_30_34,14,383,7466,27840,43625,41437,7046,817,166,128794
wife_35_44,25,162,2846,10006,19830,61965,28090,6174,890,129988
wife_45_54,0,0,251,664,1347,8544,19976,11739,2827,45348
wife_55_64,0,0,9,19,87,388,2527,8215,6847,18092
wife_65_over,0,0,0,0,0,79,220,1598,10556,12453
wife_total,6228,50794,290472,271005,155012,154745,62713,29345,21512,1041826
