wife_age,husband_under_18,husband_18,husband_19,husband_20,husband_21,husband_22,husband_23,husband_24,husband_25,husband_26,husband_27,husband_28,husband_29,husband_30_34,husband_35_39,husband_40_44,husband_45_49,husband_50_54,husband_55_59,husband_60_64,husband_65_over,husband_total
wife_under_18,25937,48903,45642,31922,21701,15506,10153,4886,3097,2234,1563,1246,731,1600,533,288,140,31,10,15,45,216183
wife_18,5931,32692,47312,41771,36343,25302,17587,8121,4996,3874,2702,1861,1185,2249,740,293,165,19,23,2,27,233195
wife_19,2475,13860,36265,44511,44302,32144,24231,12831,8292,5262,3816,2755,2080,3548,716,346,178,94,34,10,0,237750
wife_20,1230,5556,15475,33312,45211,37738,28917,15055,10180,7031,4838,3179,2223,5216,1440,392,242,165,20,25,7,217452
wife_21,533,1803,5715,14445,37513,42856,33772,18652,12528,9416,7570,4245,3281,7381,2020,836,255,52,64,35,11,202983
wife_22,188,922,2681,5697,17828,34758,33539,20687,14394,10315,8407,5671,4097,8095,2629,976,406,116,30,54,25,171515
wife_23,139,523,1108,2634,6584,14964,25064,17910,13246,11036,8915,5781,4497,10576,3433,1390,686,171,37,30,5,128729
wife_24,84,321,589,1042,2993,4640,9452,9570,9048,7923,7264,5494,3752,9890,3491,1604,639,181,72,77,43,78169
wife_25,37,143,355,951,1832,2928,4273,5304,6713,6168,5824,4423,3693,10260,4321,1687,664,226,200,37,10,60049
wife_26,40,139,309,578,1126,1602,2602,2890,4344,5560,5341,4393,3541,10910,4492,2212,1129,357,172,64,45,51846
wife_27,65,80,205,403,831,1321,1981,2209,2795,3277,4336,4088,3121,10319,5403,2489,916,470,130,30,67,44536
wife_28,35,33,85,285,682,826,1340,1230,1780,2066,2825,2637,2631,9697,5308,2406,865,309,156,43,34,35273
wife_29,25,20,132,98,306,639,968,1060,1212,1652,1654,1811,2305,8230,4168,2281,1024,442,285,82,62,28456
wife_30,30,29,166,418,928,1186,1809,2202,2680,3258,3606,1291,5151,27881,23132,14708,7288,2898,894,575,259,100389
wife_30_34,25,37,68,115,357,397,615,504,814,677,1326,1388,1852,11259,16290,16807,10919,4798,2237,735,546,71766
wife_35_39,13,50,2,11,162,98,191,201,303,228,456,470,569,4289,8372,15147,15055,8521,4178,1882,977,61175
wife_40_44,0,0,0,30,37,92,90,112,93,104,152,107,169,1550,3626,8059,14302,11759,7127,3553,2012,52974
wife_45_49,0,0,0,0,29,10,22,26,47,22,0,40,20,282,1073,2437,5408,8424,7947,4585,3604,33976
wife_50_54,0,0,0,0,0,0,0,30,0,40,15,0,24,107,240,766,1709,3501,7289,6123,6342,26186
wife_55_59,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,258,355,969,2466,4776,9048,17917
wife_60_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,73,172,293,753,1900,15562,18773
wife_65_over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wife_total,36787,105111,156109,178223,218765,217007,196606,123480,96562,80143,70610,50880,44922,143359,91472,75455,62517,43796,34124,24633,38731,2089292
