wife_age,husband_under_18,husband_18,husband_19,husband_20,husband_21,husband_22,husband_23,husband_24,husband_25,husband_26,husband_27,husband_28,husband_29,husband_30,husband_31,husband_32,husband_33,husband_34,husband_35_39,husband_40_44,husband_45_49,husband_50_54,husband_55_59,husband_60_64,husband_65_over,husband_total
wife_under_18,13071,25009,26032,21301,14145,9578,6540,3885,2718,1948,1250,960,933,563,402,327,226,159,602,191,42,46,17,2,6,129953
wife_18,4293,18916,30479,30098,25217,16772,11864,7422,4986,3926,2521,1783,1522,1000,814,661,426,307,949,305,233,116,41,22,15,164688
wife_19,1808,10154,24997,31470,28757,23668,16173,11965,8475,5961,4222,2997,2035,1654,1244,1016,867,458,1237,480,152,116,37,38,102,180083
wife_20,733,4122,12089,25320,29693,27465,21649,15418,11375,7924,5654,4229,3237,2096,1596,1367,999,799,2171,684,247,120,56,32,35,179110
wife_21,339,2049,5277,12059,23767,28470,24529,18726,13616,10828,8126,5627,4085,3362,2375,2149,1607,831,3038,1132,393,173,115,13,29,172715
wife_22,220,1087,2786,6529,13498,27131,27243,21777,17170,12217,9085,6964,5293,4340,3137,3068,2316,1340,4011,1170,423,204,123,15,20,171167
wife_23,218,736,1767,3897,7261,14210,22313,20550,17965,13885,11055,8148,5979,4915,4305,3275,2667,1765,4962,1697,639,199,100,19,38,152565
wife_24,112,498,1060,2641,3929,7197,12047,17223,16973,14039,11422,8619,7003,5200,4756,3680,2928,2118,5996,1614,664,270,121,18,81,130209
wife_25,75,315,880,1802,2870,4182,6528,10184,13936,13212,10635,8997,7484,6036,4639,3861,3419,2186,6967,2145,828,210,150,48,15,111604
wife_26,58,228,528,1097,1910,2912,4067,5890,8138,10703,9872,8555,7395,5778,5019,3947,3653,2306,7326,2651,1141,372,145,123,69,93883
wife_27,31,203,400,788,1242,2039,2831,4031,5106,6789,7937,8080,6372,5510,5358,4011,3801,2129,8601,2687,1195,484,177,99,41,79942
wife_28,26,164,422,586,1049,1404,2280,2976,3878,4282,5927,6932,6205,5526,5023,4261,4073,2450,7772,3142,1477,516,150,60,69,70650
wife_29,13,155,229,444,801,981,1433,2026,2613,3591,3993,4562,5249,5139,4439,4388,3911,2673,8490,3731,1498,704,259,112,47,61481
wife_30,13,95,140,289,509,847,1206,1566,2055,2265,2814,3014,3980,4554,4123,3624,3358,2494,8803,4467,1846,744,308,82,40,53236
wife_31,12,53,158,287,401,501,797,1033,1352,1841,2149,2239,2747,3171,3494,3411,3327,2466,8603,4311,1756,1005,396,116,127,45753
wife_32,9,110,123,222,373,529,639,932,1015,1411,1692,2006,2254,2316,2786,3282,3291,2521,9392,4568,2383,969,441,153,97,43514
wife_33,7,128,125,183,468,680,444,721,939,1263,1415,1632,1640,2297,2222,2958,2965,2703,10769,5391,2780,1102,465,211,107,43615
wife_34,3,37,41,101,188,229,315,470,586,717,670,1041,1080,1566,1394,1597,1788,1622,8176,4262,2183,1121,461,126,99,29873
wife_35_39,1,116,177,308,357,661,996,923,1241,1705,2025,2202,2991,3287,3803,4326,4937,4229,29661,24302,13855,7518,3137,1287,707,114752
wife_40_44,7,28,22,105,157,173,155,305,396,456,486,550,630,983,1028,1039,1494,1248,10286,16496,15948,10080,4819,1810,1208,69909
wife_45_49,0,0,0,30,45,60,81,53,75,120,104,213,172,224,278,257,399,374,3574,6714,11388,11094,7106,3552,2102,48015
wife_50_54,0,0,0,22,2,10,59,20,15,66,34,34,56,19,71,55,91,46,844,2108,4523,8348,8017,5046,3534,33020
wife_55_59,0,0,0,1,21,25,11,4,5,3,34,46,32,24,6,7,20,27,285,430,1196,2915,5688,5076,5732,21588
wife_60_64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,20,1,61,186,467,1068,2370,4808,8077,17066
wife_65_over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,151,184,486,905,2451,18743,22978
wife_total,21049,64203,107732,139580,156660,169724,164200,148100,134628,119152,103122,89430,78374,69561,62318,56568,52583,37252,152634,95015,67441,49980,35604,25319,41140,2241369
